szn,winner,runner_up
,,
2025-26,"['https://www.nhl.com/player/scott-wedgewood-8475809', 'https://www.nhl.com/player/mackenzie-blackwood-8478406']","['https://www.nhl.com/player/jake-oettinger-8479979', 'https://www.nhl.com/player/casey-desmith-8479193']"
,,
2024-25,https://www.nhl.com/player/connor-hellebuyck-8476945,"['https://www.nhl.com/player/darcy-kuemper-8475311', 'https://www.nhl.com/player/david-rittich-8479496']"
,,
2023-24,https://www.nhl.com/player/connor-hellebuyck-8476945,"['https://www.nhl.com/player/sergei-bobrovsky-8475683', 'https://www.nhl.com/player/anthony-stolarz-8476932']"
,,
2022-23,"['https://www.nhl.com/player/linus-ullmark-8476999', 'https://www.nhl.com/player/jeremy-swayman-8480280']","['https://www.nhl.com/player/frederik-andersen-8475883', 'https://www.nhl.com/player/antti-raanta-8477293']"
,,
2021-22,"['https://www.nhl.com/player/frederik-andersen-8475883', 'https://www.nhl.com/player/antti-raanta-8477293']","['https://www.nhl.com/player/igor-shesterkin-8478048', 'https://www.nhl.com/player/alexandar-georgiev-8480382']"
,,
2020-21,"['https://www.nhl.com/player/marc-andre-fleury-8470594', 'https://www.nhl.com/player/robin-lehner-8475215']","['https://www.nhl.com/player/semyon-varlamov-8473575', 'https://www.nhl.com/player/ilya-sorokin-8478009']"
,,
2019-20,"['https://www.nhl.com/player/jaroslav-halak-8470860', 'https://www.nhl.com/player/tuukka-rask-8471695']","['https://www.nhl.com/player/anton-khudobin-8471418', 'https://www.nhl.com/player/ben-bishop-8471750']"
,,
2018-19,"['https://www.nhl.com/player/thomas-greiss-8471306', 'https://www.nhl.com/player/robin-lehner-8475215']","['https://www.nhl.com/player/ben-bishop-8471750', 'https://www.nhl.com/player/anton-khudobin-8471418']"
,,
2017-18,https://www.nhl.com/player/jonathan-quick-8471734,"['https://www.nhl.com/player/pekka-rinne-8471469', 'https://www.nhl.com/player/juuse-saros-8477424']"
,,
2016-17,https://www.nhl.com/player/braden-holtby-8474651,https://www.nhl.com/player/sergei-bobrovsky-8475683
,,
2015-16,"['https://www.nhl.com/player/frederik-andersen-8475883', 'https://www.nhl.com/player/john-gibson-8476434']",https://www.nhl.com/player/braden-holtby-8474651
,,
2014-15,"['https://www.nhl.com/player/carey-price-8471679', 'https://www.nhl.com/player/corey-crawford-8470645']","['https://www.nhl.com/player/henrik-lundqvist-8468685', 'https://www.nhl.com/player/cam-talbot-8475660']"
,,
2013-14,https://www.nhl.com/player/jonathan-quick-8471734,"['https://www.nhl.com/player/tuukka-rask-8471695', 'https://www.nhl.com/player/chad-johnson-8456727']"
,,
2012-13,"['https://www.nhl.com/player/ray-emery-8469548', 'https://www.nhl.com/player/corey-crawford-8470645']",https://www.nhl.com/player/craig-anderson-8467950
,,
2011-12,"['https://www.nhl.com/player/jaroslav-halak-8470860', 'https://www.nhl.com/player/brian-elliott-8470880']",https://www.nhl.com/player/jonathan-quick-8471734
,,
2010-11,"['https://www.nhl.com/player/roberto-luongo-8466141', 'https://www.nhl.com/player/cory-schneider-8471239']",https://www.nhl.com/player/pekka-rinne-8471469
,,
2009-10,https://www.nhl.com/player/martin-brodeur-8455710,"['https://www.nhl.com/player/tim-thomas-8460703', 'https://www.nhl.com/player/tuukka-rask-8471695']"
,,
2008-09,"['https://www.nhl.com/player/manny-fernandez-8458988', 'https://www.nhl.com/player/tim-thomas-8460703']",https://www.nhl.com/player/niklas-backstrom-8473404
,,
2007-08,"['https://www.nhl.com/player/dominik-hasek-8447687', 'https://www.nhl.com/player/chris-osgood-8458568']",https://www.nhl.com/player/jean-sebastien-giguere-8462044
,,
2006-07,"['https://www.nhl.com/player/manny-fernandez-8458988', 'https://www.nhl.com/player/niklas-backstrom-8473404']",https://www.nhl.com/player/dominik-hasek-8447687
,,
2005-06,https://www.nhl.com/player/miikka-kiprusoff-8462147,"['https://www.nhl.com/player/manny-legace-8459308', 'https://www.nhl.com/player/chris-osgood-8458568']"
,,
2003-04,https://www.nhl.com/player/martin-brodeur-8455710,https://www.nhl.com/player/marty-turco-8460612
,,
2002-03,"['https://www.nhl.com/player/martin-brodeur-8455710', 'https://www.nhl.com/player/robert-esche-8465093', 'https://www.nhl.com/player/roman-cechmanek-8468651']","['https://www.nhl.com/player/marty-turco-8460612', 'https://www.nhl.com/player/ron-tugnutt-8451837']"
,,
2001-02,https://www.nhl.com/player/patrick-roy-8451033,https://www.nhl.com/player/tommy-salo-8459541
,,
2000-01,https://www.nhl.com/player/dominik-hasek-8447687,"['https://www.nhl.com/player/ed-belfour-8445386', 'https://www.nhl.com/player/marty-turco-8460612']"
,,
1999-00,https://www.nhl.com/player/roman-turek-8458266,"['https://www.nhl.com/player/john-vanbiesbrouck-8452157', 'https://www.nhl.com/player/brian-boucher-8462052']"
,,
1998-99,"['https://www.nhl.com/player/ed-belfour-8445386', 'https://www.nhl.com/player/roman-turek-8458266']",https://www.nhl.com/player/dominik-hasek-8447687
,,
1997-98,https://www.nhl.com/player/martin-brodeur-8455710,https://www.nhl.com/player/ed-belfour-8445386
,,
1996-97,"['https://www.nhl.com/player/martin-brodeur-8455710', 'https://www.nhl.com/player/mike-dunham-8456137']","['https://www.nhl.com/player/chris-osgood-8458568', 'https://www.nhl.com/player/mike-vernon-8452217']"
,,
1995-96,"['https://www.nhl.com/player/mike-vernon-8452217', 'https://www.nhl.com/player/chris-osgood-8458568']",https://www.nhl.com/player/martin-brodeur-8455710
,,
1994-95,https://www.nhl.com/player/ed-belfour-8445386,"['https://www.nhl.com/player/chris-osgood-8458568', 'https://www.nhl.com/player/mike-vernon-8452217']"
,,
1993-94,"['https://www.nhl.com/player/grant-fuhr-8446991', 'https://www.nhl.com/player/dominik-hasek-8447687']","['https://www.nhl.com/player/martin-brodeur-8455710', 'https://www.nhl.com/player/chris-terreri-8451860']"
,,
1992-93,https://www.nhl.com/player/ed-belfour-8445386,"['https://www.nhl.com/player/grant-fuhr-8446991', 'https://www.nhl.com/player/felix-potvin-8457714']"
,,
1991-92,https://www.nhl.com/player/patrick-roy-8451033,https://www.nhl.com/player/ed-belfour-8445386
,,
1990-91,https://www.nhl.com/player/ed-belfour-8445386,https://www.nhl.com/player/patrick-roy-8451033
,,
1989-90,"['https://www.nhl.com/player/rejean-lemelin-8448759', 'https://www.nhl.com/player/andy-moog-8449681']","['https://www.nhl.com/player/brian-hayward-8447701', 'https://www.nhl.com/player/patrick-roy-8451033']"
,,
1988-89,"['https://www.nhl.com/player/brian-hayward-8447701', 'https://www.nhl.com/player/patrick-roy-8451033']","['https://www.nhl.com/player/mike-vernon-8452217', 'https://www.nhl.com/player/rick-wamsley-8452287']"
,,
1987-88,"['https://www.nhl.com/player/brian-hayward-8447701', 'https://www.nhl.com/player/patrick-roy-8451033']","['https://www.nhl.com/player/clint-malarchuk-8449096', 'https://www.nhl.com/player/pete-peeters-8450343']"
,,
1986-87,"['https://www.nhl.com/player/brian-hayward-8447701', 'https://www.nhl.com/player/patrick-roy-8451033']",https://www.nhl.com/player/ron-hextall-8447775
,,
1985-86,"['https://www.nhl.com/player/bob-froese-8446982', 'https://www.nhl.com/player/darren-jensen-8448269']","['https://www.nhl.com/player/al-jensen-8448275', 'https://www.nhl.com/player/pete-peeters-8450343']"
,,
1984-85,"['https://www.nhl.com/player/tom-barrasso-8445275', 'https://www.nhl.com/player/bob-sauve-8451143']",https://www.nhl.com/player/pat-riggin-8450835
,,
1983-84,"['https://www.nhl.com/player/al-jensen-8448275', 'https://www.nhl.com/player/pat-riggin-8450835']","['https://www.nhl.com/player/tom-barrasso-8445275', 'https://www.nhl.com/player/bob-sauve-8451143']"
,,
1982-83,"['https://www.nhl.com/player/roland-melanson-8449547', 'https://www.nhl.com/player/billy-smith-8451525']",https://www.nhl.com/player/pete-peeters-8450343
,,
1981-82,"['https://www.nhl.com/player/denis-herron-8447755', 'https://www.nhl.com/player/rick-wamsley-8452287']","['https://www.nhl.com/player/roland-melanson-8449547', 'https://www.nhl.com/player/billy-smith-8451525']"
